,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,year2
160,161,Kiss You,One Direction,boy band,2013,90,93,63,-3,32,91,183,2,6,73,2013.3888465585196
170,171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,-6,14,16,215,26,4,69,2013.274749385825
180,181,Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,-3,10,43,202,1,6,62,2013.8139911433182
190,191,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,33,65,244,1,17,57,2013.8800129988801
200,201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,37,51,211,9,48,50,2013.9912017625777
210,211,All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86,2014.5487851911626
220,221,Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,10,24,253,39,6,77,2014.8395597353463
230,231,Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,5,38,200,9,7,70,2014.296392744208
240,241,#SELFIE,The Chainsmokers,electropop,2014,128,92,79,-3,8,66,184,1,25,65,2014.228197992823
250,251,A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,21,16,268,1,3,60,2014.8339155219007
260,261,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68,-9,9,56,160,84,3,49,2014.9542664510834
270,271,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,84,2015.7992531764312
280,281,Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5,76,207,2,7,78,2015.32939072276
290,291,Worth It,Fifth Harmony,dance pop,2015,100,77,88,-4,12,59,225,6,9,75,2015.9313075982757
300,301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,14,91,218,21,16,72,2015.8442374517224
310,311,Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,48,8,213,1,8,69,2015.7153771094513
320,321,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,22,60,205,1,4,66,2015.4256317725494
330,331,Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,17,52,134,88,3,63,2015.2950375221842
340,341,Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24,35,210,4,6,56,2015.5113890769994
350,351,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,-3,6,93,193,1,6,50,2015.861385299413
360,361,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,-4,6,88,238,1,13,34,2015.9680510971702
370,371,Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11,15,205,49,4,80,2016.0863585484894
380,381,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8,69,198,4,11,78,2016.6876473219586
390,391,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,75,-4,23,75,166,4,7,73,2016.48118009392
400,401,NO,Meghan Trainor,dance pop,2016,92,80,56,-4,74,65,214,1,22,70,2016.844938605783
410,411,Body Say,Demi Lovato,dance pop,2016,87,74,63,-5,28,26,194,0,4,65,2016.3613169122125
420,421,When We Were Young,Adele,british soul,2016,144,59,38,-6,9,27,291,35,5,58,2016.9928393216085
430,431,Blown,DNCE,dance pop,2016,130,95,63,-5,10,73,197,0,4,48,2016.9192206668718
440,441,Picky - Remix,Joey Montana,latin,2016,186,81,70,-3,37,69,225,9,7,29,2016.5189866990622
450,451,Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,81,2017.3379628658724
460,461,Praying,Kesha,dance pop,2017,73,39,58,-7,11,32,230,49,3,77,2017.3991615110713
470,471,Cold (feat. Future),Maroon 5,pop,2017,100,72,69,-6,5,41,234,14,11,72,2017.5269669600298
480,481,Came Here for Love,Sigala,dance pop,2017,125,87,71,-3,12,72,203,3,4,70,2017.0325815496058
490,491,Younger Now,Miley Cyrus,dance pop,2017,122,87,55,-5,14,33,249,0,6,62,2017.308539047546
500,501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70,-6,36,63,245,28,27,54,2017.7561557753895
510,511,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,85,2018.7371460184831
520,521,Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8,38,224,7,5,82,2018.1842827762166
530,531,Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,5,9,78,2018.7580680218218
540,541,Anywhere,Rita Ora,dance pop,2018,107,80,63,-4,10,32,215,4,6,74,2018.3816161710567
550,551,Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,76,-6,23,47,210,2,8,68,2018.1076277384632
560,561,This Town,Niall Horan,dance pop,2018,112,41,68,-8,12,20,233,70,3,64,2018.8537210427824
570,571,Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8,27,264,5,26,45,2018.295437252679
580,581,Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12,41,173,11,11,90,2019.4358348371013
590,591,Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10,35,210,13,3,83,2019.9388623644343
600,601,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,53,-5,9,65,260,7,34,70,2019.1903839270506
