,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,year2
136,137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65,-3,27,80,211,3,10,54,2012.9372859622429
137,138,It Will Rain,Bruno Mars,pop,2012,150,84,58,-7,8,48,258,34,5,38,2012.388477709696
138,139,Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,-3,25,75,256,0,4,0,2012.1470871027516
139,140,Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,21,69,230,0,5,88,2013.757008947049
140,141,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,2013.3337415981953
141,142,Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,81,2013.3557145073669
142,143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,13,44,243,35,5,81,2013.189886672519
143,144,Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,12,63,203,7,6,80,2013.886314858382
144,145,Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,78,2013.7280851766275
145,146,We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,78,2013.99264846441
146,147,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,12,44,213,11,5,78,2013.072423133861
147,148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10,86,248,4,4,77,2013.3929628140388
148,149,Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11,35,221,41,3,77,2013.8920259284457
149,150,Impossible,James Arthur,pop,2013,170,70,38,-5,11,30,209,14,9,77,2013.2154965691739
150,151,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76,2013.8193013955918
151,152,Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,24,50,211,7,10,76,2013.9546307604728
152,153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,-6,12,75,193,1,9,75,2013.7251948196754
153,154,Die Young,Kesha,dance pop,2013,128,70,71,-5,22,80,212,0,5,75,2013.1553746915904
154,155,Clarity,Zedd,complextro,2013,128,78,51,-3,7,18,271,4,7,75,2013.4835156351965
155,156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,-6,13,11,215,2,6,74,2013.5484555529501
156,157,Under Control,Calvin Harris,dance pop,2013,126,92,54,-3,12,51,184,13,8,74,2013.991248598506
157,158,Everybody Talks,Neon Trees,indie pop,2013,155,92,47,-4,31,73,177,0,6,74,2013.598819251068
158,159,"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,7,29,228,0,10,73,2013.3681511620596
159,160,Best Song Ever,One Direction,boy band,2013,118,88,65,-3,8,49,200,2,5,73,2013.3313623297138
160,161,Kiss You,One Direction,boy band,2013,90,93,63,-3,32,91,183,2,6,73,2013.3888465585196
161,162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,-4,6,58,213,20,11,72,2013.9332763374052
162,163,Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83,-8,8,67,354,8,6,72,2013.031867188704
163,164,Work Bitch,Britney Spears,dance pop,2013,128,82,63,-7,7,85,248,16,16,71,2013.3805691355383
164,165,Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,1,5,71,2013.053907627294
165,166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63,-4,10,88,258,3,8,70,2013.9849282231678
166,167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,-4,34,54,230,4,16,70,2013.5209794018983
167,168,Beneath Your Beautiful,Labrinth,pop,2013,84,52,56,-6,10,23,272,23,4,70,2013.5336152689738
168,169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,-7,37,25,252,25,4,70,2013.2204137913684
169,170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,78,-7,5,66,236,6,29,69,2013.7041163209744
170,171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,-6,14,16,215,26,4,69,2013.274749385825
171,172,The Way,Ariana Grande,dance pop,2013,82,88,65,-3,8,86,227,29,11,68,2013.1370439920436
172,173,Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,-4,16,36,326,10,22,68,2013.9522147482687
173,174,#thatPOWER,will.i.am,dance pop,2013,128,61,80,-6,7,40,280,0,6,68,2013.4983527210677
174,175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,15,82,157,1,3,67,2013.505682926645
175,176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,-3,66,68,209,4,4,67,2013.3351859748464
176,177,Daylight,Maroon 5,pop,2013,120,67,66,-5,26,37,225,0,3,66,2013.5966430742794
177,178,Love Somebody,Maroon 5,pop,2013,120,78,68,-6,12,40,230,13,4,65,2013.2858556798635
178,179,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76,-6,9,52,241,1,18,65,2013.330010349538
179,180,Move,Little Mix,dance pop,2013,121,74,85,-5,55,77,224,0,9,63,2013.4589146834626
180,181,Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,-3,10,43,202,1,6,62,2013.8139911433182
181,182,Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,-3,34,67,207,1,13,61,2013.6921286724566
182,183,Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,-7,34,58,263,14,10,61,2013.6425130500172
183,184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,43,65,277,14,5,60,2013.073993483479
184,185,Next To Me,Emeli Sandé,dance pop,2013,95,80,67,-5,11,35,197,9,4,60,2013.3580352403958
185,186,Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,32,59,196,0,4,60,2013.7253478435753
186,187,Clown,Emeli Sandé,dance pop,2013,130,23,45,-8,11,23,221,92,4,60,2013.8732084352418
187,188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,15,34,271,9,31,59,2013.9234127263544
188,189,TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,43,49,424,1,24,58,2013.3160119872075
189,190,Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,10,58,232,1,5,57,2013.116781779902
190,191,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,33,65,244,1,17,57,2013.8800129988801
191,192,We Own The Night,The Wanted,boy band,2013,104,94,55,-4,23,56,206,1,13,56,2013.7194237537428
192,193,Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,permanent wave,2013,136,45,28,-8,11,11,236,63,3,55,2013.0299258100126
193,194,What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,4,28,203,0,4,54,2013.6465634925612
194,195,Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,64,33,353,4,16,54,2013.5825010526046
195,196,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52,2013.9356997536777
196,197,Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,14,38,286,43,3,52,2013.1979877253066
197,198,Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,35,66,221,1,10,52,2013.6397207920686
198,199,Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,28,90,198,7,9,52,2013.9781116696463
199,200,#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,31,45,200,29,4,51,2013.4367448040196
200,201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,37,51,211,9,48,50,2013.9912017625777
201,202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,13,50,229,4,4,46,2013.6434408900477
202,203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,-5,11,73,257,2,5,45,2013.654091313994
203,204,People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,36,61,259,4,4,45,2013.0751286387826
204,205,Overdose,Ciara,dance pop,2013,107,70,77,-6,6,79,227,1,3,43,2013.4901385722017
205,206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,-6,24,45,186,0,4,42,2013.1360677346238
206,207,Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,-4,16,58,230,10,7,41,2013.915070066737
207,208,Foolish Games,Jewel,alaska indie,2013,132,34,51,-11,12,7,250,23,3,36,2013.5039294886492
208,209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,-4,21,66,207,16,3,35,2013.3307995010007
209,210,Freak,Kelly Rowland,atl hip hop,2013,104,78,65,-5,12,45,274,13,6,28,2013.427855464706
210,211,All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86,2014.5487851911626
211,212,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,85,2014.2416128383036
212,213,Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80,2014.8849414592144
213,214,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,79,2014.6095713002155
214,215,Rude,MAGIC!,pop,2014,144,76,77,-5,31,93,225,4,4,79,2014.0667868099324
215,216,Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33,94,219,6,17,78,2014.9621411212377
216,217,Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,17,35,216,0,5,78,2014.5599488010907
217,218,Hey Brother,Avicii,big room,2014,125,78,55,-5,8,46,255,3,4,78,2014.3006523418792
218,219,Maps,Maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,78,2014.9005464176112
219,220,Treasure,Bruno Mars,pop,2014,116,69,87,-5,32,94,179,4,4,77,2014.0089520011375
220,221,Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,10,24,253,39,6,77,2014.8395597353463
221,222,Problem,Ariana Grande,dance pop,2014,103,81,66,-5,16,63,194,2,15,75,2014.5087449348023
222,223,Pompeii,Bastille,metropopolis,2014,127,72,68,-6,27,57,214,8,4,73,2014.4384704538973
223,224,Team,Lorde,art pop,2014,100,58,69,-7,31,42,193,17,9,73,2014.5002923315067
224,225,Love Me Again,John Newman,pop,2014,126,89,50,-5,10,21,240,0,4,73,2014.952898942211
225,226,Latch,Disclosure,house,2014,122,73,50,-5,9,52,256,2,17,72,2014.340507707605
226,227,Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,11,20,279,11,3,72,2014.1608423110224
227,228,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,71,2014.9841524424785
228,229,Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,11,33,231,31,4,71,2014.5185255414158
229,230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,71,2014.9602857920725
230,231,Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,5,38,200,9,7,70,2014.296392744208
231,232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,-7,31,76,178,3,23,68,2014.0717303177873
232,233,Gorilla,Bruno Mars,pop,2014,140,54,72,-7,10,64,244,45,4,68,2014.8836258153904
233,234,human,Christina Perri,dance pop,2014,144,49,44,-6,11,25,251,13,4,68,2014.5105158555618
234,235,Young Girls,Bruno Mars,pop,2014,126,75,56,-5,21,50,229,46,3,67,2014.0462508600904
235,236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,-7,16,72,193,8,25,67,2014.452315672562
